M,Time (s),Memory (KB),Passes
100,0.0,40340.0,1.0
500,0.0,40832.0,1.0
1000,0.0,42144.0,1.0
2500,0.0,46156.0,1.0
5000,0.0,54104.0,1.0
7500,0.0,61856.0,1.0
10000,0.0,66468.0,1.0
15000,0.01,70332.0,1.0
20000,0.01,72068.0,1.0
25000,0.01,73616.0,1.0
30000,0.01,74704.0,1.0
40000,0.01,75652.0,1.0
50000,0.01,76692.0,1.0
75000,0.08,12288.0,1.16
100000,0.09,12504.0,1.16
200000,0.14,12524.0,1.17
300000,0.17,12544.0,1.17
400000,0.24,12552.0,1.17
500000,0.26,12732.0,1.17
750000,0.35,12728.0,1.17
1000000,0.43,12896.0,1.17
2500000,0.98,12920.0,1.17
5000000,1.9,12700.0,1.17
7500000,2.77,12896.0,1.17
10000000,4.18,12616.0,1.17
25000000,9.28,12608.0,1.17
49995000,17.83,12560.0,1.17
