M,Time (s),Memory (KB),Passes
100,0.0,6980.0,2.0
500,0.0,6980.0,2.0
1000,0.0,7388.0,2.0
2500,0.0,7216.0,2.0
5000,0.01,7280.0,2.51
7500,0.01,7336.0,4.09
10000,0.02,8200.0,4.18
15000,0.04,8200.0,4.13
20000,0.05,8104.0,4.15
25000,0.06,8108.0,4.15
30000,0.07,8220.0,4.03
40000,0.07,8616.0,4.12
50000,0.1,8760.0,4.16
75000,0.13,9140.0,4.1
100000,0.16,8604.0,4.04
200000,0.28,8748.0,4.07
300000,0.37,9152.0,3.99
400000,0.46,8744.0,3.93
500000,0.54,9092.0,3.98
750000,0.76,8892.0,3.87
1000000,1.04,9288.0,3.84
2500000,2.41,8912.0,3.7
5000000,4.34,8880.0,3.36
7500000,6.71,8780.0,3.17
10000000,8.56,9284.0,3.15
25000000,21.35,9060.0,3.04
49995000,39.5,9200.0,3.01
