M,Time (s),Memory (KB),Passes
100,0.0,6884.0,2.0
500,0.0,6968.0,2.0
1000,0.0,7420.0,2.0
2500,0.0,7432.0,2.0
5000,0.01,7352.0,2.51
7500,0.02,7312.0,4.09
10000,0.02,8352.0,4.19
15000,0.04,8096.0,4.14
20000,0.05,8312.0,4.14
25000,0.06,8412.0,4.14
30000,0.06,8368.0,4.04
40000,0.08,8532.0,4.12
50000,0.1,8716.0,4.17
75000,0.12,8392.0,4.09
100000,0.15,8768.0,4.03
200000,0.25,9100.0,4.06
300000,0.35,8852.0,4.0
400000,0.44,8836.0,3.93
500000,0.54,8608.0,3.97
750000,0.78,9180.0,3.88
1000000,1.1,9304.0,3.84
2500000,2.42,8828.0,3.7
5000000,4.35,8920.0,3.36
7500000,6.44,8828.0,3.18
10000000,8.64,9048.0,3.15
25000000,21.17,9136.0,3.05
49995000,40.64,9600.0,3.01
