Generating graphs for 46 (n,m) pairs with 100 iterations each
Total graphs to generate: 4600
Using 25 parallel processes
Graph type: UNIFORM
Sparsity: 4
✓ Generated graph n=10000, m=1000, seed=6938562734920028532, type=UNIFORM -> ./input/random_graphs/graph_10000_1000_UNIFORM_6938562734920028532.txt (Time: 0.00s)
✓ Generated graph n=10000, m=1000, seed=7599700178212337699, type=UNIFORM -> ./input/random_graphs/graph_10000_1000_UNIFORM_7599700178212337699.txt (Time: 0.01s)
✓ Generated graph n=10000, m=1000, seed=6230961512046992311, type=UNIFORM -> ./input/random_graphs/graph_10000_1000_UNIFORM_6230961512046992311.txt (Time: 0.01s)
✓ Generated graph n=10000, m=1000, seed=7871178979383552919, type=UNIFORM -> ./input/random_graphs/graph_10000_1000_UNIFORM_7871178979383552919.txt (Time: 0.01s)
✓ Generated graph n=10000, m=1000, seed=7032710160631691991, type=UNIFORM -> ./input/random_graphs/graph_10000_1000_UNIFORM_7032710160631691991.txt (Time: 0.01s)
✓ Generated graph n=10000, m=1000, seed=3881801951614183357, type=UNIFORM -> ./input/random_graphs/graph_10000_1000_UNIFORM_3881801951614183357.txt (Time: 0.01s)
✓ Generated graph n=10000, m=1000, seed=5739955973604961613, type=UNIFORM -> ./input/random_graphs/graph_10000_1000_UNIFORM_5739955973604961613.txt (Time: 0.01s)
✓ Generated graph n=10000, m=1000, seed=6522163754831416203, type=UNIFORM -> ./input/random_graphs/graph_10000_1000_UNIFORM_6522163754831416203.txt (Time: 0.00s)
✓ Generated graph n=10000, m=1000, seed=1353182403971399009, type=UNIFORM -> ./input/random_graphs/graph_10000_1000_UNIFORM_1353182403971399009.txt (Time: 0.00s)
✓ Generated graph n=10000, m=1000, seed=1070244953599069350, type=UNIFORM -> ./input/random_graphs/graph_10000_1000_UNIFORM_1070244953599069350.txt (Time: 0.01s)
✓ Generated graph n=10000, m=1000, seed=1309542850049879452, type=UNIFORM -> ./input/random_graphs/graph_10000_1000_UNIFORM_1309542850049879452.txt (Time: 0.00s)
✓ Generated graph n=10000, m=1000, seed=4040737767143389431, type=UNIFORM -> ./input/random_graphs/graph_10000_1000_UNIFORM_4040737767143389431.txt (Time: 0.01s)
✓ Generated graph n=10000, m=1000, seed=7663871783842725848, type=UNIFORM -> ./input/random_graphs/graph_10000_1000_UNIFORM_7663871783842725848.txt (Time: 0.00s)
✓ Generated graph n=10000, m=1000, seed=320375091487821987, type=UNIFORM -> ./input/random_graphs/graph_10000_1000_UNIFORM_320375091487821987.txt (Time: 0.00s)
✓ Generated graph n=10000, m=1000, seed=2429002973740178792, type=UNIFORM -> ./input/random_graphs/graph_10000_1000_UNIFORM_2429002973740178792.txt (Time: 0.00s)
✓ Generated graph n=10000, m=1000, seed=1250005700364523649, type=UNIFORM -> ./input/random_graphs/graph_10000_1000_UNIFORM_1250005700364523649.txt (Time: 0.01s)
✓ Generated graph n=10000, m=1000, seed=5906957480796939447, type=UNIFORM -> ./input/random_graphs/graph_10000_1000_UNIFORM_5906957480796939447.txt (Time: 0.00s)
✓ Generated graph n=10000, m=1000, seed=1250773459040295677, type=UNIFORM -> ./input/random_graphs/graph_10000_1000_UNIFORM_1250773459040295677.txt (Time: 0.00s)
✓ Generated graph n=10000, m=1000, seed=5139481885857321791, type=UNIFORM -> ./input/random_graphs/graph_10000_1000_UNIFORM_5139481885857321791.txt (Time: 0.00s)
