Generating graphs for 68 (n,m) pairs with 1 iterations each
Total graphs to generate: 68
Using 30 parallel processes
Graph type: POWLAW
Sparsity: 2
✓ Generated graph n=1000, m=14000, seed=6230961512046992311, type=POWLAW -> ./input/random_graphs/graph_1000_14000_POWLAW_6230961512046992311.txt (Time: 0.23s)
✓ Generated graph n=1000, m=15000, seed=6230961512046992311, type=POWLAW -> ./input/random_graphs/graph_1000_15000_POWLAW_6230961512046992311.txt (Time: 0.24s)
✓ Generated graph n=1000, m=16000, seed=6230961512046992311, type=POWLAW -> ./input/random_graphs/graph_1000_16000_POWLAW_6230961512046992311.txt (Time: 0.27s)
✓ Generated graph n=1000, m=17000, seed=6230961512046992311, type=POWLAW -> ./input/random_graphs/graph_1000_17000_POWLAW_6230961512046992311.txt (Time: 0.29s)
✓ Generated graph n=1000, m=18000, seed=6230961512046992311, type=POWLAW -> ./input/random_graphs/graph_1000_18000_POWLAW_6230961512046992311.txt (Time: 0.31s)
✓ Generated graph n=1000, m=19000, seed=6230961512046992311, type=POWLAW -> ./input/random_graphs/graph_1000_19000_POWLAW_6230961512046992311.txt (Time: 0.32s)
✓ Generated graph n=1000, m=20000, seed=6230961512046992311, type=POWLAW -> ./input/random_graphs/graph_1000_20000_POWLAW_6230961512046992311.txt (Time: 0.34s)
✓ Generated graph n=1000, m=30000, seed=6230961512046992311, type=POWLAW -> ./input/random_graphs/graph_1000_30000_POWLAW_6230961512046992311.txt (Time: 0.56s)
✓ Generated graph n=1000, m=40000, seed=6230961512046992311, type=POWLAW -> ./input/random_graphs/graph_1000_40000_POWLAW_6230961512046992311.txt (Time: 0.84s)
✓ Generated graph n=350, m=2957, seed=6230961512046992311, type=POWLAW -> ./input/random_graphs/graph_350_2957_POWLAW_6230961512046992311.txt (Time: 1.21s)
✓ Generated graph n=1000, m=50000, seed=6230961512046992311, type=POWLAW -> ./input/random_graphs/graph_1000_50000_POWLAW_6230961512046992311.txt (Time: 1.15s)
✓ Generated graph n=600, m=5537, seed=6230961512046992311, type=POWLAW -> ./input/random_graphs/graph_600_5537_POWLAW_6230961512046992311.txt (Time: 1.43s)
✓ Generated graph n=1000, m=60000, seed=6230961512046992311, type=POWLAW -> ./input/random_graphs/graph_1000_60000_POWLAW_6230961512046992311.txt (Time: 1.48s)
✓ Generated graph n=400, m=3457, seed=6230961512046992311, type=POWLAW -> ./input/random_graphs/graph_400_3457_POWLAW_6230961512046992311.txt (Time: 1.73s)
✓ Generated graph n=450, m=3966, seed=6230961512046992311, type=POWLAW -> ./input/random_graphs/graph_450_3966_POWLAW_6230961512046992311.txt (Time: 1.98s)
✓ Generated graph n=1000, m=70000, seed=6230961512046992311, type=POWLAW -> ./input/random_graphs/graph_1000_70000_POWLAW_6230961512046992311.txt (Time: 1.84s)
✓ Generated graph n=1000, m=80000, seed=6230961512046992311, type=POWLAW -> ./input/random_graphs/graph_1000_80000_POWLAW_6230961512046992311.txt (Time: 2.23s)
✓ Generated graph n=1000, m=90000, seed=6230961512046992311, type=POWLAW -> ./input/random_graphs/graph_1000_90000_POWLAW_6230961512046992311.txt (Time: 2.68s)
