Running experiments with 100 iterations, varying N from 10 to 10,000 and seed token 1729
Running klev variant 0 with N=350, sparsity=2, seed=1729...
      Average Passes: 3.54, Time/Memory: 0.45,3072
Running klev variant N with N=350, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.10,5120
Running kpath variant 0 with N=400, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 0.27,3072
Running kpath variant N with N=400, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.13,6144
Running klev variant 0 with N=400, sparsity=2, seed=1729...
      Average Passes: 3.6, Time/Memory: 0.51,3072
Running klev variant N with N=400, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.13,6144
Running kpath variant 0 with N=450, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 0.30,3072
Running kpath variant N with N=450, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.14,6144
Running klev variant 0 with N=450, sparsity=2, seed=1729...
      Average Passes: 3.64, Time/Memory: 0.62,3072
Running klev variant N with N=450, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.14,6144
Running kpath variant 0 with N=500, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 0.35,3072
Running kpath variant N with N=500, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.16,6144
Running klev variant 0 with N=500, sparsity=2, seed=1729...
      Average Passes: 3.72, Time/Memory: 0.72,3072
Running klev variant N with N=500, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.16,6144
Running kpath variant 0 with N=550, sparsity=2, seed=1729...
      Average Passes: 3.0, Time/Memory: 0.55,3072
Running kpath variant N with N=550, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.19,7168
Running klev variant 0 with N=550, sparsity=2, seed=1729...
      Average Passes: 3.67, Time/Memory: 0.80,3072
Running klev variant N with N=550, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.18,7168
Running kpath variant 0 with N=600, sparsity=2, seed=1729...
      Average Passes: 3.0, Time/Memory: 0.62,4096
Running kpath variant N with N=600, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.19,7168
Running klev variant 0 with N=600, sparsity=2, seed=1729...
      Average Passes: 3.65, Time/Memory: 0.86,3072
Running klev variant N with N=600, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.20,7168
Running kpath variant 0 with N=650, sparsity=2, seed=1729...
      Average Passes: 3.0, Time/Memory: 0.69,4096
Running kpath variant N with N=650, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.21,7168
Running klev variant 0 with N=650, sparsity=2, seed=1729...
      Average Passes: 3.8, Time/Memory: 1.00,3072
Running klev variant N with N=650, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.21,7168
Running kpath variant 0 with N=700, sparsity=2, seed=1729...
      Average Passes: 3.0, Time/Memory: 0.72,4096
Running kpath variant N with N=700, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.23,8192
Running klev variant 0 with N=700, sparsity=2, seed=1729...
      Average Passes: 3.76, Time/Memory: 1.09,3072
Running klev variant N with N=700, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.25,8192
Running kpath variant 0 with N=750, sparsity=2, seed=1729...
      Average Passes: 3.0, Time/Memory: 0.79,4096
Running kpath variant N with N=750, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.26,8192
Running klev variant 0 with N=750, sparsity=2, seed=1729...
      Average Passes: 3.66, Time/Memory: 1.18,3072
Running klev variant N with N=750, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.26,8192
Running kpath variant 0 with N=800, sparsity=2, seed=1729...
      Average Passes: 3.0, Time/Memory: 0.87,4096
Running kpath variant N with N=800, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.29,8192
Running klev variant 0 with N=800, sparsity=2, seed=1729...
      Average Passes: 3.75, Time/Memory: 1.27,3072
Running klev variant N with N=800, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.28,8192
Running kpath variant 0 with N=850, sparsity=2, seed=1729...
      Average Passes: 3.0, Time/Memory: 0.91,4096
Running kpath variant N with N=850, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.28,9216
Running klev variant 0 with N=850, sparsity=2, seed=1729...
      Average Passes: 3.77, Time/Memory: 1.35,3072
Running klev variant N with N=850, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.30,9216
Running kpath variant 0 with N=900, sparsity=2, seed=1729...
      Average Passes: 3.0, Time/Memory: 0.99,4096
Running kpath variant N with N=900, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.31,9216
Running klev variant 0 with N=900, sparsity=2, seed=1729...
      Average Passes: 3.8, Time/Memory: 1.47,3072
Running klev variant N with N=900, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.31,9216
Running kpath variant 0 with N=950, sparsity=2, seed=1729...
      Average Passes: 3.0, Time/Memory: 1.12,4096
Running kpath variant N with N=950, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.33,10240
Running klev variant 0 with N=950, sparsity=2, seed=1729...
      Average Passes: 3.83, Time/Memory: 1.55,3072
Running klev variant N with N=950, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.32,10240
Running kpath variant 0 with N=1000, sparsity=2, seed=1729...
      Average Passes: 3.0, Time/Memory: 1.08,4096
Running kpath variant N with N=1000, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.36,10240
Running klev variant 0 with N=1000, sparsity=2, seed=1729...
      Average Passes: 3.81, Time/Memory: 1.63,3072
Running klev variant N with N=1000, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.34,10240
