Running experiments with 100 iterations, varying N from 10 to 10,000 and seed token 1729
Running klev variant 0 with N=350, sparsity=3, seed=1729...
      Average Passes: 3.24, Time/Memory: 0.86,3072
Running klev variant N with N=350, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.40,3072
Running kpath variant 0 with N=400, sparsity=3, seed=1729...
      Average Passes: 3.0, Time/Memory: 0.82,3072
Running kpath variant N with N=400, sparsity=3, seed=1729...
      Average Passes: 2.0, Time/Memory: 0.57,3072
Running klev variant 0 with N=400, sparsity=3, seed=1729...
      Average Passes: 3.36, Time/Memory: 1.10,3072
Running klev variant N with N=400, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.48,3072
Running kpath variant 0 with N=450, sparsity=3, seed=1729...
      Average Passes: 3.0, Time/Memory: 0.96,3072
Running kpath variant N with N=450, sparsity=3, seed=1729...
      Average Passes: 2.0, Time/Memory: 0.68,3072
Running klev variant 0 with N=450, sparsity=3, seed=1729...
      Average Passes: 3.38, Time/Memory: 1.30,3072
Running klev variant N with N=450, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.56,3072
Running kpath variant 0 with N=500, sparsity=3, seed=1729...
      Average Passes: 3.0, Time/Memory: 1.12,3072
Running kpath variant N with N=500, sparsity=3, seed=1729...
      Average Passes: 2.0, Time/Memory: 0.81,3072
Running klev variant 0 with N=500, sparsity=3, seed=1729...
      Average Passes: 3.36, Time/Memory: 1.52,3072
Running klev variant N with N=500, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.67,3072
Running kpath variant 0 with N=550, sparsity=3, seed=1729...
      Average Passes: 3.0, Time/Memory: 1.28,3072
Running kpath variant N with N=550, sparsity=3, seed=1729...
      Average Passes: 2.0, Time/Memory: 0.90,3072
Running klev variant 0 with N=550, sparsity=3, seed=1729...
      Average Passes: 3.32, Time/Memory: 1.78,3072
Running klev variant N with N=550, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.77,3072
Running kpath variant 0 with N=600, sparsity=3, seed=1729...
      Average Passes: 3.0, Time/Memory: 1.46,4096
Running kpath variant N with N=600, sparsity=3, seed=1729...
      Average Passes: 2.0, Time/Memory: 1.05,4096
Running klev variant 0 with N=600, sparsity=3, seed=1729...
      Average Passes: 3.27, Time/Memory: 2.01,3072
Running klev variant N with N=600, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 0.89,3072
Running kpath variant 0 with N=650, sparsity=3, seed=1729...
      Average Passes: 3.0, Time/Memory: 1.61,4096
Running kpath variant N with N=650, sparsity=3, seed=1729...
      Average Passes: 2.0, Time/Memory: 1.12,4096
Running klev variant 0 with N=650, sparsity=3, seed=1729...
      Average Passes: 3.44, Time/Memory: 2.41,3072
Running klev variant N with N=650, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 1.00,3072
Running kpath variant 0 with N=700, sparsity=3, seed=1729...
      Average Passes: 3.0, Time/Memory: 1.75,4096
Running kpath variant N with N=700, sparsity=3, seed=1729...
      Average Passes: 2.0, Time/Memory: 1.31,4096
Running klev variant 0 with N=700, sparsity=3, seed=1729...
      Average Passes: 3.43, Time/Memory: 2.66,3072
Running klev variant N with N=700, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 1.13,3072
Running kpath variant 0 with N=750, sparsity=3, seed=1729...
      Average Passes: 3.0, Time/Memory: 1.94,4096
