K,Time (s),Memory (MB),Passes
1,15.01,25.29,242
2,3.4,30.06,14
3,2.28,35.32,6
4,1.89,41.37,4
5,0.18,45.23,2
6,0.19,45.39,2
7,0.18,45.37,2
8,0.2,45.38,2
9,0.19,45.22,2
10,0.19,45.31,2
