K,Time (s),Memory (MB),Passes
1,1.0,42.26,3
2,0.59,38.90,2
3,0.99,39.32,2
4,0.06,14.14,1
5,0.06,14.14,1
6,0.06,14.14,1
7,0.06,14.14,1
8,0.06,14.14,1
9,0.06,14.14,1
10,0.06,14.14,1
