K,Time (s),Memory (KB),Passes
1,0.04,4172.0,3.4
2,0.04,3108.0,3.4
3,0.04,3188.0,3.4
4,0.04,4172.0,3.4
5,0.04,4180.0,3.4
6,0.04,3108.0,3.4
7,0.04,3132.0,3.4
8,0.04,4184.0,3.4
9,0.04,3136.0,3.4
10,0.04,3124.0,3.4
12,0.04,3144.0,3.4
14,0.04,3124.0,3.39
16,0.04,3108.0,3.39
18,0.04,3172.0,3.39
20,0.04,4188.0,3.39
25,0.04,4192.0,3.38
30,0.04,4132.0,3.37
35,0.04,3140.0,3.36
40,0.04,5160.0,3.35
50,0.04,4204.0,3.34
75,0.04,5180.0,3.23
100,0.03,5192.0,3.04
250,0.03,4144.0,2.21
500,0.02,4208.0,2.0
750,0.02,5176.0,2.0
1000,0.02,4208.0,2.0
2500,0.02,4212.0,2.0
5000,0.02,5204.0,2.0
7500,0.02,5196.0,2.0
10000,0.02,5216.0,2.0
