N,Time (s),Memory (KB),AvgPasses,AvgHeight
10,0.0,4188.0,2.01,9.48
20,0.0,4168.0,2.0,15.5
30,0.0001,4224.0,2.0,20.22
40,0.0001,4168.0,2.02,24.61
50,0.0002,4164.0,2.03,28.19
60,0.0002,4168.0,2.04,31.79
70,0.0003,4168.0,2.04,34.8
80,0.0003,4196.0,2.06,38.06
90,0.0004,4168.0,2.04,41.36
100,0.0005,4168.0,2.07,43.28
200,0.0012,4196.0,2.1,62.99
300,0.0021,4196.0,2.19,77.73
400,0.0029,4196.0,2.19,82.71
500,0.0037,4168.0,2.13,87.34
600,0.0046,4200.0,2.23,93.8
700,0.0053,4196.0,2.22,92.79
800,0.0062,4196.0,2.19,96.45
900,0.0074,4192.0,2.26,93.81
1000,0.0084,4168.0,2.28,102.61
1200,0.0105,4168.0,2.31,95.99
1400,0.0123,4196.0,2.22,105.21
1600,0.0149,4196.0,2.33,96.68
1800,0.0163,4168.0,2.28,100.53
2000,0.0192,4168.0,2.39,108.93
2500,0.024900000000000002,4160.0,2.37,108.75
3000,0.0298,5204.0,2.27,110.71
3500,0.0359,5192.0,2.36,111.52
4000,0.0415,4180.0,2.34,110.28
4500,0.049400000000000006,5156.0,2.41,112.86
5000,0.0553,6228.0,2.44,122.76
6000,0.0698,6244.0,2.52,121.2
7000,0.08199999999999999,5180.0,2.45,124.28
8000,0.09519999999999999,7268.0,2.45,126.51
9000,0.1066,6212.0,2.42,121.77
10000,0.1229,8288.0,2.51,122.58
