N,Time (s),Memory (KB),AvgPasses,AvgHeight
10,0.0,4196.0,1.0,9.48
20,0.0,4168.0,1.66,15.51
30,0.0001,4168.0,1.95,20.23
40,0.0002,4208.0,2.0,24.58
50,0.0002,4168.0,2.0,28.13
60,0.0003,4168.0,2.0,31.89
70,0.0004,4168.0,2.0,34.84
80,0.0004,4168.0,2.0,38.15
90,0.0005,4176.0,2.0,41.43
100,0.0006,4196.0,2.0,43.39
200,0.0014000000000000002,4168.0,2.01,63.2
300,0.0022,4276.0,2.05,77.58
400,0.0031,4236.0,2.01,82.81
500,0.004,4168.0,2.04,87.29
600,0.0051,4168.0,2.06,94.3
700,0.006,4168.0,2.03,92.76
800,0.006999999999999999,4196.0,2.05,96.61
900,0.008,4168.0,2.04,93.87
1000,0.0091,4168.0,2.06,102.87
1200,0.011200000000000002,4168.0,2.04,95.8
1400,0.0134,4168.0,2.02,105.21
1600,0.0155,4132.0,2.04,96.52
1800,0.0182,5204.0,2.05,100.89
2000,0.0203,5220.0,2.02,108.79
2500,0.0262,5192.0,2.05,109.22
3000,0.0318,4132.0,2.01,110.95
3500,0.0383,5156.0,2.02,111.98
4000,0.044199999999999996,5156.0,2.02,111.17
