N,Time (s),Memory (KB),AvgPasses,AvgHeight
10,0.0,4168.0,1.0,2.32
20,0.0,4192.0,1.0,2.32
30,0.0,4168.0,1.0,1.7
40,0.0,4196.0,1.0,1.58
50,0.0001,4168.0,1.0,0.96
60,0.0,4164.0,1.0,0.88
70,0.0001,4180.0,1.0,0.73
80,0.0001,4180.0,1.0,0.63
90,0.0001,4168.0,1.0,0.82
100,0.0001,4196.0,1.0,0.4
200,0.0004,5220.0,1.0,0.11
300,0.0007000000000000001,6276.0,1.0,0.23
400,0.0009,6232.0,1.0,0.29
500,0.0012,7240.0,1.0,0.1
600,0.0015,7240.0,1.0,0.06
700,0.0019,8288.0,1.0,0.01
800,0.0021,9288.0,1.0,0.01
900,0.0024,9312.0,1.0,0.18
1000,0.0027,10308.0,1.0,0.03
1200,0.013000000000000001,5248.0,1.97,95.79
1400,0.015600000000000001,5192.0,2.0,105.37
1600,0.0183,6264.0,2.0,96.71
1800,0.021,6216.0,2.0,101.03
2000,0.0239,6216.0,2.0,108.86
2500,0.031400000000000004,6200.0,2.0,109.18
3000,0.037200000000000004,7264.0,2.0,110.98
3500,0.044800000000000006,8264.0,2.0,112.01
4000,0.0518,8288.0,2.0,111.16
4500,0.0596,8228.0,2.0,113.56
5000,0.0678,9252.0,2.0,123.36
6000,0.08349999999999999,11336.0,2.0,121.86
7000,0.1017,12324.0,2.0,124.62
8000,0.11800000000000001,13384.0,2.0,127.05
9000,0.1333,15488.0,2.0,122.43
10000,0.151,15396.0,2.0,123.04
