K,Average User Time (s),Average Memory (KB),Passes
1,0.01,3740.0,19
2,0.01,3790.4,16
3,0.01,3773.6,10
4,0.0,3761.6,7
5,0.0,3741.6,5
6,0.0,3796.8,5
7,0.0,3825.6,4
8,0.0,3898.4,3
9,0.0,3822.4,3
10,0.0,3958.4,3
