K,Time (s),Memory (KB),AvgPasses,AvgHeight
1,37.44686999999998,6273.152,147.941,9896.964
2,4.212670000000008,8246.588,16.526,9893.499
3,1.5572999999999784,9121.88,6.0,9905.891
4,1.0475899999999863,10334.26,4.0,9915.609
5,1.044139999999987,11356.448,4.0,9913.823
6,0.7942099999999908,12356.32,3.0,9919.146
7,0.7892799999999894,13389.824,3.0,9914.413
8,0.7915199999999907,14407.256,3.0,9912.15
9,0.797029999999991,15434.188,3.0,9913.729
10,0.7986599999999904,15461.676,2.996,9920.359
12,0.5516700000000005,17505.156,2.0,9924.339
14,0.5583600000000017,19545.172,2.0,9924.019
16,0.57157,21589.232,2.0,9923.495
18,0.5744899999999984,23628.052,2.0,9922.872
20,0.5925000000000021,25665.544,2.0,9922.731
25,0.6279800000000023,29782.156,2.0,9920.428
30,0.6601399999999948,34886.344,2.0,9918.956
35,0.7115900000000043,39014.58,2.0,9916.769
40,0.7528100000000032,44112.596,2.0,9915.332
45,0.8055899999999946,49189.956,2.0,9914.075
50,0.8456500000000043,53322.664,2.0,9912.958
60,0.9444399999999977,62556.692,2.0,9912.53
70,1.0294999999999939,71782.524,2.0,9913.089
80,1.1409,81954.244,2.0,9915.836
90,1.2334700000000085,91176.044,2.0,9919.204
100,0.2776200000000006,25623.204,1.0,0.0
150,0.27687000000000067,25663.076,1.0,0.0
200,0.27906000000000064,25620.808,1.0,0.0
250,0.27732000000000057,25656.968,1.0,0.0
300,0.2780700000000003,25661.964,1.0,0.0
400,0.2776300000000006,25668.968,1.0,0.0
500,0.2783500000000005,25678.02,1.0,0.0
750,0.2772900000000006,25664.956,1.0,0.0
1000,0.276130000000001,25658.036,1.0,0.0
1500,0.2758700000000013,25661.332,1.0,0.0
2000,0.2767600000000007,25660.42,1.0,0.0
2500,0.27581000000000083,25660.548,1.0,0.0
3000,0.2770200000000007,25642.992,1.0,0.0
4000,0.27621000000000107,25657.172,1.0,0.0
5000,0.2767500000000005,25675.408,1.0,0.0
7500,0.2774600000000007,25650.776,1.0,0.0
10000,0.2813599999999998,25608.332,1.0,0.0
