K,Time (s),Memory (KB),AvgPasses,AvgHeight
1,30.278750000000002,7205.348,115.279,9895.947
2,1.56201999999998,8292.24,6.0,9905.529
3,1.047879999999987,9296.908,4.0,9910.031
4,1.041179999999989,10316.076,3.999,9920.499
5,0.7901099999999894,11329.732,3.0,9912.647
6,0.7924899999999914,12373.812,3.0,9911.574
7,0.7961499999999903,13379.596,3.0,9913.009
8,0.7972999999999903,13417.78,3.0,9916.275
9,0.8007299999999895,14436.22,2.996,9924.137
10,0.5498500000000006,15454.152,2.0,9918.553
12,0.5557600000000006,17503.0,2.0,9916.994
14,0.5635400000000003,19533.12,2.0,9916.249
16,0.5809000000000005,21570.88,2.0,9915.207
18,0.5962400000000024,23605.156,2.0,9914.391
20,0.6016400000000002,25646.32,2.0,9913.618
25,0.6467499999999986,29777.412,2.0,9911.898
30,0.6853199999999968,34840.736,2.0,9911.236
35,0.7392,38989.712,2.0,9910.706
40,0.7920099999999949,44102.4,2.0,9909.768
45,0.813089999999993,48225.408,2.0,9910.363
50,0.868160000000003,53317.324,2.0,9910.352
60,0.9674600000000062,62556.08,2.0,9911.343
70,1.059949999999993,71773.592,2.0,9913.053
80,1.171740000000009,80994.532,2.0,9915.865
90,1.259900000000002,91175.12,2.0,9919.569
100,0.2660000000000004,25689.78,1.0,0.0
150,0.2660000000000004,25686.428,1.0,0.0
200,0.2671200000000012,25669.876,1.0,0.0
250,0.2660100000000008,25667.636,1.0,0.0
300,0.26631000000000066,25667.628,1.0,0.0
400,0.2670200000000008,25646.604,1.0,0.0
500,0.26761000000000074,25614.82,1.0,0.0
750,0.2673200000000008,25654.348,1.0,0.0
1000,0.2659900000000006,25672.0,1.0,0.0
1500,0.26619,25660.392,1.0,0.0
2000,0.26603000000000004,25681.004,1.0,0.0
2500,0.2662900000000007,25692.524,1.0,0.0
3000,0.26575,25674.556,1.0,0.0
4000,0.2660500000000007,25669.564,1.0,0.0
5000,0.26548999999999995,25661.384,1.0,0.0
7500,0.26632000000000067,25673.76,1.0,0.0
10000,0.2671400000000003,25656.372,1.0,0.0
