K,Time (s),Memory (KB),Passes
1,10.89,10704.0,221
2,1.56,12284.0,35
3,0.93,14120.0,19
4,0.71,15760.0,12
5,0.49,17640.0,9
6,0.3,19432.0,4
7,0.37,21304.0,6
8,0.2,23748.0,3
9,0.2,25296.0,3
10,0.19,26748.0,2
