K,Time (s),Memory (KB),AvgPasses,AvgHeight
1,0.24756000000000147,7256.316,3.077,9139.174
2,0.24767000000000183,7268.44,3.077,9139.174
3,0.24671000000000165,7269.896,3.072,9138.994
4,0.24681000000000147,7284.0,3.066,9139.069
5,0.24836000000000125,7272.94,3.067,9138.988
6,0.24743000000000176,7275.44,3.064,9139.151
7,0.24707000000000173,7272.388,3.067,9139.177
8,0.2478500000000013,7272.424,3.065,9139.629
9,0.2472400000000017,7280.268,3.066,9139.903
10,0.24858000000000063,7276.724,3.063,9139.673
12,0.247390000000002,7270.736,3.059,9139.487
14,0.03846999999999953,7271.324,1.0,0.0
16,0.038079999999999586,7277.684,1.0,0.0
18,0.03794999999999959,7275.096,1.0,0.0
20,0.037929999999999596,7276.116,1.0,0.0
25,0.03773999999999963,7276.288,1.0,0.0
30,0.03801999999999957,7279.704,1.0,0.0
35,0.038239999999999545,7276.444,1.0,0.0
40,0.03838999999999957,7272.948,1.0,0.0
45,0.03808999999999957,7276.988,1.0,0.0
50,0.03803999999999957,7280.948,1.0,0.0
60,0.03803999999999959,7280.912,1.0,0.0
70,0.03824999999999956,7280.34,1.0,0.0
80,0.037899999999999615,7259.892,1.0,0.0
90,0.038219999999999546,7277.188,1.0,0.0
100,0.03804999999999956,7275.616,1.0,0.0
150,0.03790999999999962,7279.74,1.0,0.0
200,0.037909999999999604,7279.164,1.0,0.0
250,0.03769999999999964,7278.76,1.0,0.0
300,0.03810999999999958,7279.18,1.0,0.0
400,0.037699999999999644,7278.208,1.0,0.0
500,0.0374899999999996,7277.112,1.0,0.0
750,0.03833999999999955,7275.884,1.0,0.0
1000,0.038539999999999526,7274.252,1.0,0.0
1500,0.03823999999999959,7272.824,1.0,0.0
2000,0.03871999999999949,7273.12,1.0,0.0
2500,0.037969999999999594,7281.24,1.0,0.0
3000,0.038549999999999515,7268.28,1.0,0.0
4000,0.03836999999999954,7277.908,1.0,0.0
5000,0.038469999999999546,7267.64,1.0,0.0
7500,0.038429999999999534,7273.208,1.0,0.0
10000,0.037739999999999656,7283.7,1.0,0.0
