K,Time (s),Memory (KB),AvgPasses,AvgHeight
1,0.2981400000000023,7265.38,4.083,9139.057
2,0.29607000000000155,7272.468,4.083,9139.057
3,0.29678000000000215,7265.824,4.083,9139.055
4,0.29684000000000166,7278.812,4.086,9139.254
5,0.2988300000000021,7267.444,4.085,9139.577
6,0.29626000000000147,7259.14,4.086,9139.552
7,0.29463000000000145,7273.0,4.087,9139.525
8,0.2963700000000022,7269.356,4.084,9139.572
9,0.2969300000000013,7263.988,4.082,9139.586
10,0.2968800000000027,7272.768,4.08,9139.417
12,0.2970600000000019,7276.576,4.08,9139.4
14,0.29674000000000217,7259.428,4.073,9139.332
16,0.2944300000000012,7272.464,4.068,9139.333
18,0.29353000000000107,7269.956,4.061,9139.251
20,0.29402000000000134,7265.584,4.062,9139.193
25,0.29579000000000266,7261.256,4.056,9138.749
30,0.2946800000000019,7255.084,4.044,9138.974
35,0.29603000000000224,7267.776,4.032,9138.852
40,0.2941800000000021,7270.484,4.025,9138.898
45,0.2933100000000009,7267.652,4.024,9138.936
50,0.2942000000000016,7267.176,4.021,9138.427
60,0.2948200000000021,7269.328,4.015,9138.138
70,0.2949400000000022,7266.12,4.013,9138.25
80,0.29618000000000255,7271.108,4.013,9138.71
90,0.2936300000000011,7269.792,4.009,9138.925
100,0.29376000000000113,7264.972,4.009,9138.674
150,0.293130000000002,7269.472,4.005,9138.985
200,0.2944000000000021,7260.48,4.004,9139.088
250,0.293780000000002,7268.08,4.002,9139.053
300,0.2952800000000021,7269.008,4.001,9138.99
400,0.2951500000000026,7266.556,4.0,9137.895
500,0.2930100000000018,7270.524,3.999,9139.176
750,0.2917700000000015,7279.336,3.999,9138.804
1000,0.29144000000000114,8048.48,3.995,9139.233
1500,0.29122000000000087,8298.552,3.996,9136.461
2000,0.29079000000000066,8295.596,3.998,9137.587
2500,0.29085000000000144,8301.136,3.994,9138.156
3000,0.28772999999999926,9303.804,4.0,9137.622
4000,0.28295999999999927,9313.664,3.996,9138.673
5000,0.24370000000000192,9335.028,3.0,9138.721
7500,0.23489999999999903,10347.616,3.0,9139.077
10000,0.19799999999999796,10354.4,2.0,9135.045
