M,Time (s),Memory (KB),Passes
100,0.0,6144.0,1.0
200,0.0,7168.0,1.0
300,0.0,7168.0,1.0
400,0.0,7168.0,1.0
500,0.0,8192.0,1.0
600,0.0,8192.0,1.0
700,0.0,8192.0,1.0
800,0.0,8192.0,1.0
900,0.0,9216.0,1.0
1000,0.0,9216.0,1.0
2000,0.0,9216.0,1.0
3000,0.0,3072.0,2.66
4000,0.01,3072.0,3.0
5000,0.01,3072.0,3.0
6000,0.01,3072.0,3.0
7000,0.01,3072.0,3.0
8000,0.01,3072.0,3.0
9000,0.01,3072.0,3.0
10000,0.01,3072.0,3.0
11000,0.01,3072.0,3.0
12000,0.01,3072.0,3.0
13000,0.01,3072.0,3.0
14000,0.01,3072.0,3.0
15000,0.01,3072.0,3.0
16000,0.02,3072.0,3.0
17000,0.02,3072.0,3.0
18000,0.02,3072.0,3.0
19000,0.02,3072.0,3.0
20000,0.02,3072.0,3.0
30000,0.04,3072.0,3.89
40000,0.05,3072.0,4.0
50000,0.06,3072.0,4.0
60000,0.07,3072.0,4.0
70000,0.09,3072.0,4.0
80000,0.1,3072.0,4.0
90000,0.1,3072.0,4.0
100000,0.12,3072.0,4.0
200000,0.23,3072.0,4.0
300000,0.35,3072.0,4.0
400000,0.45,3072.0,4.0
499500,0.61,3072.0,4.0
