M,Time (s),Memory (KB),Passes
100,0.0,3072.0,2.0
200,0.0,3072.0,2.0
300,0.0,3072.0,2.0
400,0.0,3072.0,2.0
500,0.0,3072.0,2.0
600,0.0,3072.0,2.0
700,0.0,3072.0,2.0
800,0.0,3072.0,2.0
900,0.0,3072.0,2.0
1000,0.0,3072.0,2.0
2000,0.0,3072.0,2.0
3000,0.0,3072.0,2.0
4000,0.01,4096.0,3.0
5000,0.01,4096.0,3.0
6000,0.01,4096.0,3.0
7000,0.01,4096.0,3.0
8000,0.01,4096.0,3.0
9000,0.01,4096.0,3.0
10000,0.01,4096.0,3.0
11000,0.01,4096.0,3.0
12000,0.01,4096.0,3.0
13000,0.01,4096.0,3.0
14000,0.01,4096.0,3.0
15000,0.01,4096.0,3.0
16000,0.02,4096.0,3.0
17000,0.02,4096.0,3.0
18000,0.02,4096.0,3.0
19000,0.02,4096.0,3.0
20000,0.02,4096.0,3.06
30000,0.04,4096.0,4.0
40000,0.05,4096.0,4.0
50000,0.06,4096.0,4.0
60000,0.07,4096.0,4.0
70000,0.08,4096.0,4.0
80000,0.1,4096.0,4.0
90000,0.11,4096.0,4.0
100000,0.12,4096.0,4.03
200000,0.3,4096.0,4.93
300000,0.44,4096.0,4.96
400000,0.56,4096.0,4.96
499500,0.71,3072.0,4.96
