M,Time (s),Memory (KB),Passes
100,0.0,6144.0,1.0
200,0.0,7168.0,1.0
300,0.0,7168.0,1.0
400,0.0,7168.0,1.0
500,0.0,8192.0,1.0
600,0.0,8192.0,1.0
700,0.0,8192.0,1.0
800,0.0,9216.0,1.0
900,0.0,9216.0,1.0
1000,0.0,9216.0,1.0
2000,0.0,9216.0,1.0
3000,0.0,9216.0,1.0
4000,0.0,10240.0,1.0
5000,0.0,10240.0,1.0
6000,0.0,10240.0,1.0
7000,0.0,10240.0,1.0
8000,0.0,10240.0,1.0
9000,0.0,10240.0,1.0
10000,0.0,10240.0,1.0
11000,0.01,4096.0,2.0
12000,0.01,4096.0,2.0
13000,0.01,4096.0,2.0
14000,0.01,4096.0,2.0
15000,0.01,4096.0,2.0
16000,0.01,4096.0,2.0
17000,0.01,4096.0,2.0
18000,0.01,4096.0,2.0
19000,0.01,4096.0,2.0
20000,0.01,4096.0,2.0
30000,0.02,4096.0,2.0
40000,0.03,4096.0,2.0
50000,0.03,4096.0,2.0
60000,0.04,4096.0,2.0
70000,0.04,4096.0,2.0
80000,0.05,4096.0,2.0
90000,0.06,4096.0,2.0
100000,0.06,4096.0,2.0
200000,0.12,4096.0,2.0
300000,0.18,4096.0,2.0
400000,0.23,4096.0,2.0
499500,0.29,4096.0,2.0
