N,Time (s),Memory (KB),Passes
10,0.0,4136.0,2.0
20,0.0,4148.0,3.0
30,0.0,4176.0,3.0
40,0.0,3216.0,3.0
50,0.0,4152.0,3.0
60,0.0,4172.0,3.2
70,0.0,4152.0,3.4
80,0.0,4172.0,3.6
90,0.0,3132.0,3.9
100,0.0,4148.0,3.9
150,0.0,4156.0,4.0
200,0.0,4168.0,4.6
250,0.01,4160.0,4.5
300,0.01,3132.0,4.8
350,0.01,4144.0,5.0
400,0.01,4152.0,5.2
450,0.01,4152.0,5.3
500,0.02,3164.0,5.6
550,0.02,4152.0,5.6
600,0.02,3120.0,5.6
650,0.03,4152.0,5.9
700,0.03,3180.0,6.5
750,0.03,4172.0,5.9
800,0.04,4164.0,6.2
850,0.04,3136.0,6.1
900,0.05,4156.0,6.4
950,0.05,3104.0,6.6
1000,0.06,5156.0,6.7
