K,Average User Time (s),Average Memory (KB),Passes
1,0.0,3676.8,1
2,0.0,3691.2,1
3,0.0,3727.2,1
4,0.0,3685.6,1
5,0.0,3631.2,1
6,0.0,3670.4,1
7,0.0,3612.0,1
8,0.0,3719.2,1
9,0.0,3664.8,1
10,0.0,3674.4,1
