K,Average User Time (s),Average Memory (KB),Passes
1,0.18,4584.0,47
2,0.05,4692.0,13
3,0.03,4916.0,8
4,0.02,5133.3333,5
5,0.02,5361.3333,5
6,0.0167,5514.6667,4
7,0.01,5734.6667,4
8,0.0167,5957.3333,4
9,0.0133,6100.0,3
10,0.01,6068.0,2
