K,Time (s),Memory (KB),Passes
1,0.14,9616.0,5
2,0.14,9520.0,5
3,0.01,6656.0,1
4,0.01,6528.0,1
5,0.01,6528.0,1
6,0.01,6528.0,1
7,0.01,6528.0,1
8,0.01,6528.0,1
9,0.01,6528.0,1
10,0.01,6528.0,1
