K,Average User Time (s),Average Memory (KB),Passes
1,32.4833,100317.3333,28
2,21.51,116961.3333,6
3,21.9933,140930.6667,5
4,10.0533,156838.6667,2
5,16.0467,176590.6667,2
6,0.47,188849.3333,1
7,0.4867,188856.0,1
8,0.4767,188842.6667,1
9,0.4733,188892.0,1
10,0.48,188889.3333,1
