K,Time (s),Memory (KB),Passes
1,N/A,N/A,N/A
2,7263.55,1524352.0,128
3,4501.26,1819548.0,29
4,4517.0,2112496.0,19
5,5272.32,2406912.0,15
6,3534.05,2696116.0,11
7,3813.38,2995944.0,11
8,2536.2,3289600.0,9
9,3384.66,3576848.0,8
10,3059.79,3871636.0,8
