K,Average User Time (s),Average Memory (KB),Passes
2,22869.02,2003576.0,165
3,17969.11,2382448.0,48
4,15556.12,2777376.0,24
5,12681.63,3171356.0,20
6,6111.12,3591704.0,10
7,8574.29,3938080.0,15
8,10047.83,4307584.0,13
9,14365.97,4712256.0,12
10,37.39,4910436.0,2
