K,Time (s),Memory (KB),Passes
1,14.95,75660.0,6
2,12.73,75392.0,6
3,14.83,75740.0,6
4,12.77,75380.0,6
5,0.24,49272.0,1
6,0.27,49428.0,1
7,0.25,49408.0,1
8,0.27,49216.0,1
9,0.23,49328.0,1
10,0.26,49312.0,1
