M,Time (s),Memory (KB),Passes
1000,0.0,6144.0,2.0
2000,0.0,6144.0,2.0
3000,0.01,6144.0,2.0
4000,0.01,6144.0,2.05
5000,0.01,6144.0,2.45
6000,0.02,6144.0,3.84
7000,0.02,7168.0,4.09
8000,0.03,7168.0,4.15
9000,0.04,7168.0,4.18
10000,0.04,7168.0,4.17
12500,0.06,7168.0,4.14
15000,0.07,7168.0,4.17
17500,0.08,7168.0,4.18
20000,0.09,8192.0,4.08
22500,0.1,8192.0,4.11
25000,0.1,8192.0,4.17
30000,0.12,8192.0,4.15
40000,0.14,8192.0,4.08
50000,0.16,8192.0,4.1
60000,0.18,8192.0,4.11
70000,0.2,8192.0,4.09
80000,0.21,8192.0,4.09
90000,0.23,8192.0,4.06
100000,0.25,8192.0,4.02
200000,0.42,8192.0,4.08
300000,0.58,8192.0,4.04
400000,0.76,8192.0,4.02
500000,0.93,8192.0,4.0
600000,1.06,8192.0,3.9
700000,1.23,8192.0,3.89
800000,1.41,8192.0,3.89
900000,1.56,8192.0,3.85
1000000,1.73,8192.0,3.76
2000000,3.27,8192.0,3.64
4000000,6.19,8192.0,3.41
6000000,9.16,8192.0,3.33
8000000,11.61,9216.0,3.17
10000000,14.8,9216.0,3.17
15000000,21.79,9216.0,3.11
20000000,33.3,8192.0,3.05
25000000,45.53,9216.0,3.01
30000000,54.19,10240.0,3.02
35000000,62.7,10240.0,3.02
40000000,66.11,10088.0,3.0
49995000,77.3,10708.0,3.0
