K,Time (s),Memory (KB),Passes
1,70.44,7168.0,3.0
2,71.1,7168.0,3.0
3,71.68,7168.0,3.0
4,71.91,7168.0,3.0
5,71.14,7168.0,3.0
6,71.44,8192.0,3.0
7,70.14,8192.0,3.0
8,71.51,9216.0,3.0
9,71.17,9216.0,3.0
10,71.72,9216.0,3.0
11,71.16,9216.0,3.0
12,71.12,10240.0,3.0
13,70.48,10240.0,3.0
14,70.84,10240.0,3.0
15,71.75,11264.0,3.0
20,71.35,12288.0,3.0
25,71.78,14336.0,3.0
30,70.58,16384.0,3.0
35,93.03,17408.0,3.0
40,90.8,18432.0,3.0
45,90.59,20480.0,3.0
50,72.21,20480.0,3.0
60,70.84,25600.0,3.0
70,71.61,27648.0,3.0
80,71.3,30720.0,3.0
90,71.23,34816.0,3.0
100,71.2,36864.0,3.0
150,70.96,52224.0,3.0
200,71.72,67584.0,3.0
250,72.53,82944.0,3.0
300,74.74,98304.0,3.0
400,74.43,128000.0,3.0
500,73.34,157696.0,3.0
750,75.64,231424.0,3.0
1000,76.46,302080.0,3.0
1500,78.66,440320.0,3.0
2000,79.63,569344.0,3.0
2500,80.46,690176.0,3.0
3000,86.66,803840.0,3.0
4000,81.87,1005568.0,3.0
5000,83.36,1178624.0,3.0
7500,78.74,1470464.0,3.0
10000,67.7,1568768.0,2.0
