K,Time (s),Memory (KB),Passes
1,46.24,7168.0,2.0
2,44.81,8192.0,2.0
3,44.34,9216.0,2.0
4,28.52,10240.0,1.0
5,28.26,10240.0,1.0
6,28.73,10240.0,1.0
7,28.36,10240.0,1.0
8,28.26,10240.0,1.0
9,28.37,10240.0,1.0
10,28.2,10240.0,1.0
11,28.91,10240.0,1.0
12,37.96,10240.0,1.0
13,28.21,10240.0,1.0
14,37.25,10240.0,1.0
15,37.23,10240.0,1.0
20,28.13,10240.0,1.0
25,28.43,9216.0,1.0
30,28.34,10240.0,1.0
35,28.45,10240.0,1.0
40,28.46,10240.0,1.0
45,37.63,10240.0,1.0
50,37.6,10240.0,1.0
60,29.98,10240.0,1.0
70,28.64,10240.0,1.0
80,35.42,10240.0,1.0
90,28.44,10240.0,1.0
100,28.76,10240.0,1.0
150,37.35,10240.0,1.0
200,28.17,10240.0,1.0
250,32.09,10240.0,1.0
300,28.19,10240.0,1.0
400,28.05,10240.0,1.0
500,28.72,10240.0,1.0
750,28.28,9216.0,1.0
1000,28.7,10240.0,1.0
1500,28.45,10240.0,1.0
2000,36.71,10240.0,1.0
2500,30.7,10240.0,1.0
3000,36.87,10240.0,1.0
4000,36.79,10240.0,1.0
5000,15.49,1133568.0,1.0
7500,15.22,1133568.0,1.0
10000,15.26,1131520.0,1.0
