K,Time (s),Memory (KB),Passes
1,666.79,7168.0,47.0
2,56.78,8192.0,4.0
3,57.93,9216.0,4.0
4,42.13,10240.0,3.0
5,42.37,11264.0,3.0
6,43.36,12288.0,3.0
7,42.08,13312.0,3.0
8,42.12,14336.0,3.0
9,42.31,14336.0,3.0
10,44.3,15360.0,3.0
11,43.5,16384.0,3.0
12,42.17,17408.0,3.0
13,43.38,18432.0,3.0
14,29.92,19456.0,2.0
15,28.3,20480.0,2.0
20,28.09,25600.0,2.0
25,29.11,29696.0,2.0
30,28.94,34816.0,2.0
35,29.48,38912.0,2.0
40,29.23,44032.0,2.0
45,29.29,48128.0,2.0
50,28.25,53248.0,2.0
60,29.4,62464.0,2.0
70,29.58,71680.0,2.0
80,28.59,80896.0,2.0
90,28.8,91136.0,2.0
100,29.66,100352.0,2.0
150,30.3,147456.0,2.0
200,30.52,193536.0,2.0
250,29.99,240640.0,2.0
300,32.51,287744.0,2.0
400,34.01,380928.0,2.0
500,34.52,475136.0,2.0
750,39.13,709632.0,2.0
1000,39.49,944128.0,2.0
1500,47.04,1413120.0,2.0
2000,54.4,1881088.0,2.0
2500,63.48,2350080.0,2.0
3000,73.19,2819072.0,2.0
4000,79.14,3757056.0,1.0
5000,15.14,1133568.0,1.0
7500,15.22,1133568.0,1.0
10000,15.15,1133568.0,1.0
