M,Time (s),Memory (KB),Passes
1000,0.3,6144.0,2.0
2000,0.24,6144.0,2.0
3000,0.25,6144.0,2.0
4000,0.21,6144.0,2.0
5000,0.17,6144.0,2.0
6000,0.13,7168.0,2.0
7000,0.1,7168.0,2.0
8000,0.08,8012.0,2.0
9000,0.07,8192.0,2.0
10000,0.06,8428.0,2.0
12500,0.04,9032.0,2.0
15000,0.03,9256.0,2.0
17500,0.03,9548.0,2.0
20000,0.03,10016.0,2.0
22500,0.03,10240.0,2.0
25000,0.03,10404.0,2.0
30000,0.03,11096.0,2.0
40000,0.04,12100.0,2.0
50000,0.04,13084.0,2.0
60000,0.05,14008.0,2.0
70000,0.06,15000.0,2.0
80000,0.07,15764.0,2.0
90000,0.12,16384.0,3.0
100000,0.12,16384.0,3.0
200000,0.2,16384.0,3.0
300000,0.27,16384.0,3.0
400000,0.37,16384.0,3.0
500000,0.45,16384.0,3.0
600000,0.55,16384.0,3.0
700000,0.62,16384.0,3.0
800000,0.71,16384.0,3.0
900000,0.81,16384.0,3.0
1000000,0.88,16384.0,3.03
2000000,2.27,16384.0,4.0
4000000,4.65,16384.0,4.0
6000000,7.1,16384.0,4.0
8000000,9.06,16384.0,4.0
10000000,11.62,16384.0,4.0
15000000,20.38,16384.0,4.79
20000000,28.97,16444.0,4.95
25000000,42.83,16444.0,4.95
30000000,48.57,17904.0,4.95
35000000,53.42,17112.0,4.95
40000000,59.28,17700.0,4.95
49995000,74.36,16444.0,4.95
