M,Time (s),Memory (KB),AvgPasses,AvgHeight
1000,0.00066,377944.0,1.0,0.122
2000,0.00172,402492.0,1.0,0.19
3000,0.0025,429124.0,1.0,0.325
4000,0.00233,458816.0,1.0,0.403
5000,0.00419,493664.0,1.0,0.471
6000,0.005019999999999999,528460.0,1.0,0.408
7000,0.005849999999999999,558156.0,1.0,0.362
8000,0.00662,581676.0,1.0,0.298
9000,0.00754,600172.0,1.0,0.215
10000,0.00828,615508.0,1.0,0.206
12000,0.009179999999999999,634916.0,1.0,0.17
14000,0.01062,649268.0,1.0,0.119
16000,0.01222,657444.0,1.0,0.065
18000,0.01293,662604.0,1.0,0.05
25000,0.0167,683100.0,1.0,28.803
30000,0.019170000000000003,694364.0,1.0,90.174
35000,0.02189,690228.0,1.0,204.539
40000,0.019600000000000003,700452.0,1.0,590.626
45000,0.027100000000000003,710704.0,1.0,1109.45
50000,0.03003,710736.0,1.0,1509.59
60000,0.0349,701520.0,1.0,1659.93
70000,0.03095,700480.0,1.0,1581.67
80000,0.03413,704572.0,1.0,1482.32
90000,0.04524,704548.0,1.0,1386.08
100000,0.038119999999999994,702500.0,1.0,1300.92
200000,0.22347,16456.0,2.0,9525.27
300000,0.29389,16420.0,2.0,9689.75
400000,0.39932,16420.0,2.0,9772.69
500000,0.47843,16452.0,2.0,9822.17
600000,0.5724600000000001,17464.0,2.0,9855.16
700000,0.43357999999999997,16420.0,2.0,9878.54
800000,0.72962,16420.0,2.0,9895.15
900000,0.7455900000000001,17504.0,2.0,9908.26
1000000,0.82389,16448.0,2.0,9918.55
2000000,1.59515,16420.0,2.0,9962.65
4000000,3.43273,16420.0,2.0,9983.39
