M,Time (s),Memory (KB),AvgPasses,AvgHeight
1000,0.0005,42068.0,1.0,0.15
2000,0.001,44128.0,1.0,0.18
3000,0.0015,46204.0,1.0,0.44
4000,0.002,50260.0,1.0,0.34
5000,0.0025,54320.0,1.0,0.44
6000,0.0031,57392.0,1.0,0.39
7000,0.0036,60492.0,1.0,0.32
8000,0.0040999999999999995,63536.0,1.0,0.22
9000,0.0045000000000000005,63640.0,1.0,0.23
10000,0.005,66604.0,1.0,0.22
12000,0.0059,68692.0,1.0,0.14
14000,0.0067,69700.0,1.0,0.15
16000,0.0073,70732.0,1.0,0.05
18000,0.0079,69708.0,1.0,0.03
25000,0.0102,73760.0,1.0,23.89
30000,0.011699999999999999,74836.0,1.0,46.85
35000,0.0134,74792.0,1.0,131.07
40000,0.0155,74812.0,1.0,481.53
45000,0.0158,76844.0,1.0,1074.67
50000,0.017,75872.0,1.0,1462.3
60000,0.0202,75824.0,1.0,1702.8
70000,0.023,75820.0,1.0,1582.69
80000,0.026000000000000002,75852.0,1.0,1482.84
90000,0.0279,75836.0,1.0,1386.25
100000,0.031200000000000002,76848.0,1.0,1303.25
200000,0.12210000000000001,16416.0,2.0,9547.86
300000,0.1748,17504.0,2.0,9718.14
400000,0.2191,16420.0,2.0,9795.63
500000,0.272,16464.0,2.0,9841.43
600000,0.31829999999999997,16484.0,2.0,9867.73
700000,0.3754,16416.0,2.0,9889.67
800000,0.4153,16420.0,2.0,9904.04
900000,0.5323,16420.0,2.27,9914.76
1000000,0.7737999999999999,16420.0,3.0,9920.08
2000000,1.5215,16460.0,3.0,9958.9
4000000,3.0754,16436.0,3.0,9982.9
6000000,4.5629,16420.0,3.0,9989.92
8000000,6.0502,17280.0,3.0,9993.18
10000000,7.5684000000000005,15396.0,3.1,9995.07
15000000,14.702300000000001,16416.0,3.98,9997.02
20000000,19.5467,15416.0,3.99,9997.88
25000000,24.3961,15396.0,3.99,9998.75
