M,Time (s),Memory (KB),AvgPasses,AvgHeight
1000,0.0006,41084.0,1.0,0.09
2000,0.0009,44132.0,1.0,0.09
3000,0.0012,45176.0,1.0,0.08
4000,0.0015,47204.0,1.0,0.06
5000,0.002,48248.0,1.0,0.04
6000,0.0022,49236.0,1.0,0.04
7000,0.0026,50312.0,1.0,0.05
8000,0.003,51308.0,1.0,0.04
9000,0.0033,52376.0,1.0,0.04
10000,0.0034999999999999996,53348.0,1.0,0.04
12000,0.0042,55372.0,1.0,0.04
14000,0.005,55460.0,1.0,0.02
16000,0.0055000000000000005,56428.0,1.0,0.03
18000,0.0059,57412.0,1.0,0.02
25000,0.008199999999999999,60568.0,1.0,0.02
30000,0.0096,62600.0,1.0,0.0
35000,0.011000000000000001,63552.0,1.0,0.06
40000,0.0126,64624.0,1.0,0.07
45000,0.0139,65612.0,1.0,0.06
50000,0.015,66728.0,1.0,0.05
60000,0.018000000000000002,67664.0,1.0,0.01
70000,0.021,69768.0,1.0,0.0
80000,0.0236,70728.0,1.0,0.02
90000,0.026600000000000002,71796.0,1.0,0.01
100000,0.0282,72804.0,1.0,0.0
200000,0.21760000000000002,16544.0,2.0,149.0
300000,0.3197,16488.0,2.0,189.69
400000,0.40340000000000004,16456.0,2.0,230.77
500000,0.46659999999999996,16484.0,2.02,273.19
600000,0.535,16556.0,2.01,316.39
