K,Average User Time (s),Average Memory (KB),Passes
1,0.452,9895.2,5
2,0.466,9901.6,5
3,0.456,9876.0,5
4,0.468,9896.8,5
5,0.462,9852.8,5
6,0.458,9885.6,5
7,0.462,9866.4,5
8,0.472,9863.2,5
9,0.456,9871.2,5
10,0.464,9900.0,5
