Memory Limit (KB),Optimal K,Passes,Actual Memory (KB),Max Valid K (within limit)
1000,N/A,N/A,N/A,N/A
2000,8,3,1552.0,14
5000,8,3,1552.0,14
6000,8,3,1552.0,14
7000,8,3,1552.0,14
8000,8,3,1552.0,14
9000,8,3,1552.0,14
10000,8,3,1696.0,14
11000,8,3,1552.0,14
12000,8,3,1552.0,14
13000,8,3,1552.0,14
14000,8,3,1552.0,14
15000,8,3,1680.0,14
16000,8,3,1552.0,14
17000,8,3,1680.0,14
18000,8,3,1552.0,14
19000,8,3,1552.0,14
20000,8,3,1552.0,14
21000,8,3,1552.0,14
22000,8,3,1552.0,14
23000,8,3,1552.0,14
24000,8,3,1552.0,14
25000,8,3,1552.0,14
30000,8,3,1552.0,14
35000,8,3,1552.0,14
40000,8,3,1632.0,14
45000,8,3,1552.0,14
50000,8,3,1552.0,14
60000,8,3,1552.0,14
70000,8,3,1552.0,14
80000,8,3,1552.0,14
90000,8,3,1552.0,14
100000,8,3,1552.0,14
200000,8,3,1632.0,14
300000,8,3,1552.0,14
400000,8,3,1552.0,14
500000,8,3,1552.0,14
600000,8,3,1632.0,14
700000,8,3,1552.0,14
800000,8,3,1552.0,14
900000,8,3,1552.0,14
1000000,8,3,1552.0,14
