M,Time (s),Memory (KB),Passes
1000,0.0,6144.0,2.0
2000,0.0,6144.0,2.0
3000,0.01,6144.0,2.03
4000,0.01,6144.0,2.14
5000,0.01,6144.0,2.51
6000,0.02,6144.0,3.86
7000,0.02,6144.0,4.09
8000,0.03,7168.0,4.15
9000,0.04,7168.0,4.18
10000,0.04,7168.0,4.18
12500,0.06,7168.0,4.14
15000,0.07,7168.0,4.19
17500,0.08,8192.0,4.16
20000,0.09,8192.0,4.09
22500,0.1,8192.0,4.12
25000,0.1,8192.0,4.16
30000,0.12,8192.0,4.15
40000,0.14,8192.0,4.1
50000,0.16,8192.0,4.11
60000,0.18,8192.0,4.12
70000,0.2,8192.0,4.08
80000,0.22,8192.0,4.1
90000,0.23,8192.0,4.06
100000,0.25,8192.0,4.04
200000,0.43,8192.0,4.08
300000,0.59,8192.0,4.05
400000,0.77,8192.0,4.02
500000,0.92,8192.0,4.0
600000,1.09,8192.0,3.92
700000,1.26,8192.0,3.91
800000,1.41,8192.0,3.88
900000,1.53,8192.0,3.85
1000000,1.7,8192.0,3.8
2000000,3.24,8192.0,3.64
4000000,6.18,8192.0,3.41
6000000,9.17,8192.0,3.38
8000000,11.79,8192.0,3.18
10000000,14.47,8192.0,3.18
15000000,21.65,8192.0,3.12
20000000,29.66,8192.0,3.06
25000000,37.47,9216.0,3.01
30000000,45.08,8192.0,3.02
35000000,51.48,7168.0,3.02
40000000,59.69,9216.0,3.0
49995000,73.09,8192.0,3.0
