M,Time (s),Memory (KB),Passes
100,0.0,3072.0,2.0
200,0.0,3072.0,2.0
300,0.0,3072.0,2.0
400,0.0,3072.0,2.04
500,0.0,3072.0,2.32
600,0.0,3072.0,3.14
700,0.0,3072.0,3.54
800,0.0,3072.0,3.76
900,0.0,3072.0,3.87
1000,0.0,3072.0,3.92
2000,0.0,3072.0,3.99
3000,0.01,3072.0,3.98
4000,0.01,3072.0,3.97
5000,0.01,3072.0,3.95
6000,0.01,3072.0,3.87
7000,0.01,3072.0,3.85
8000,0.01,3072.0,3.9
9000,0.02,3072.0,3.88
10000,0.02,3072.0,3.82
11000,0.02,3072.0,3.77
12000,0.02,3072.0,3.75
13000,0.02,3072.0,3.78
14000,0.02,3072.0,3.76
15000,0.02,3072.0,3.72
16000,0.03,3072.0,3.66
17000,0.03,3072.0,3.6
18000,0.03,3072.0,3.63
19000,0.03,3072.0,3.63
20000,0.03,3072.0,3.58
30000,0.04,3072.0,3.47
40000,0.06,3072.0,3.32
50000,0.07,3072.0,3.28
60000,0.08,3072.0,3.31
70000,0.09,3072.0,3.26
80000,0.1,3072.0,3.21
90000,0.11,3072.0,3.13
100000,0.13,3072.0,3.17
200000,0.25,3072.0,3.1
300000,0.36,3072.0,3.0
400000,0.47,3072.0,3.0
499500,0.61,3072.0,3.0
