N,Time (s),Memory (KB),AvgPasses,AvgHeight
10,0.0,3181.452,1.0,0.0
20,0.0,3181.196,1.0,0.0
30,0.0,3184.544,1.0,0.0
40,0.0,3180.716,2.084,36.185
50,0.0,3183.02,2.097,44.966
60,0.0,3182.868,2.124,53.774
70,0.0,3181.292,2.144,62.73
80,0.0,3182.54,2.197,71.556
90,0.0,3179.004,2.226,80.323
100,0.0,3181.556,2.233,89.175
200,0.0,3183.244,2.378,178.481
300,0.0,3182.824,2.516,267.322
400,2e-05,3182.484,2.586,357.062
500,0.0005800000000000003,3182.824,2.665,446.632
600,0.002479999999999991,3182.74,2.71,536.916
700,0.0011100000000000007,3182.864,2.757,626.602
800,0.00722999999999989,3183.832,2.778,717.202
900,0.009449999999999842,3182.444,2.81,806.854
1000,0.009449999999999842,3181.924,2.824,897.548
1200,0.010109999999999831,3182.172,2.877,1078.56
1400,0.014359999999999765,3182.936,2.912,1259.55
1600,0.019189999999999697,3182.772,2.908,1441.376
1800,0.020189999999999677,3181.404,2.939,1623.065
2000,0.027420000000000146,4203.212,2.951,1805.045
2500,0.03719999999999967,4202.752,2.979,2260.27
3000,0.048829999999999374,4205.776,2.995,2716.254
3500,0.05968000000000063,4206.988,3.003,3172.579
4000,0.0703899999999996,4205.556,3.04,3630.253
4500,0.0807699999999988,5222.204,3.029,4087.519
5000,0.09365000000000105,5225.536,3.047,4545.737
6000,0.12199000000000118,5210.452,3.057,5460.973
7000,0.15035000000000212,6236.916,3.042,6380.079
8000,0.18086000000000294,6251.572,3.052,7299.13
9000,0.21154000000000095,6255.22,3.067,8219.256
10000,0.2449300000000022,7263.5,3.067,9138.988
