N,Time (s),Memory (KB),AvgPasses,AvgHeight
10,0.0,3193.2,1.0,0.0
20,0.0,3184.8,1.0,0.0
30,0.0,3176.8,1.0,0.0
40,0.0,3182.0,2.1,36.3
50,0.0,3181.6,2.1,45.5
60,0.0,3183.2,2.1,52.6
70,0.0,3179.6,2.2,62.5
80,0.0,3191.2,2.2,72.4
90,0.0,3164.4,2.3,80.5
100,0.0,3176.4,2.2,89.4
200,0.0,3180.8,2.3,177.8
300,0.0,3185.6,2.5,269.2
400,0.0,3167.6,2.9,357.5
500,0.0,3198.0,2.8,446.1
600,0.0,3186.4,2.9,538.2
700,0.001,3173.6,2.7,625.7
800,0.005,3186.8,2.7,718.2
900,0.008,3173.2,2.8,811.9
1000,0.008,3189.6,2.8,898.6
1200,0.009999999999999998,3164.8,2.9,1082.3
1400,0.014000000000000002,3185.6,3.0,1254.4
1600,0.019,3177.6,2.9,1445.5
1800,0.019999999999999997,3182.4,2.9,1621.7
2000,0.029000000000000005,4085.6,3.0,1810.0
2500,0.03799999999999999,4202.0,2.9,2264.6
3000,0.048,4211.6,3.0,2715.8
3500,0.06000000000000001,4218.8,3.0,3175.4
4000,0.07200000000000002,4212.0,3.0,3624.2
4500,0.08299999999999999,5230.8,3.2,4086.1
5000,0.09199999999999998,5233.6,3.1,4531.4
6000,0.121,5232.8,2.9,5459.1
7000,0.14999999999999997,6259.6,3.0,6374.7
8000,0.18199999999999997,6258.0,3.1,7304.7
9000,0.21000000000000002,6256.0,3.0,8219.6
10000,0.24100000000000002,7284.8,3.0,9136.2
