M,Time (s),Memory (KB),Passes
1000,0.0,41024.0,1.0
2000,0.0,45096.0,1.0
3000,0.0,46160.0,1.0
4000,0.0,50260.0,1.0
5000,0.0,52344.0,1.0
6000,0.0,56400.0,1.0
7000,0.0,60508.0,1.0
8000,0.0,63536.0,1.0
9000,0.0,64568.0,1.0
10000,0.0,66632.0,1.0
12500,0.01,68672.0,1.0
15000,0.01,70716.0,1.0
17500,0.01,71776.0,1.0
20000,0.01,71732.0,1.0
22500,0.01,70736.0,1.0
25000,0.01,72776.0,1.0
30000,0.01,74820.0,1.0
40000,0.01,74876.0,1.0
50000,0.02,76876.0,1.0
60000,0.06,13204.0,2.0
70000,0.06,12168.0,2.0
80000,0.06,13172.0,2.0
90000,0.06,13200.0,2.0
100000,0.07,12128.0,2.0
200000,0.12,13176.0,2.0
300000,0.25,13048.0,3.0
400000,0.33,13048.0,3.0
500000,0.39,12128.0,3.0
600000,0.47,12136.0,3.0
700000,0.54,12160.0,3.0
800000,0.62,12176.0,3.0
900000,0.68,12132.0,3.0
1000000,0.77,12184.0,3.0
2000000,1.97,12128.0,3.97
4000000,4.07,12128.0,4.0
6000000,6.04,12196.0,4.0
8000000,7.87,12192.0,4.0
10000000,10.08,12196.0,4.01
15000000,17.05,12168.0,4.66
20000000,24.99,12196.0,4.95
25000000,30.33,12188.0,4.96
30000000,37.44,12196.0,4.96
35000000,43.94,12168.0,4.96
40000000,50.0,12208.0,4.96
49995000,66.81,12388.0,4.96
