M,Time (s),Memory (KB),Passes
1000,0.0,42036.0,1.0
2000,0.0,45152.0,1.0
3000,0.0,46144.0,1.0
4000,0.0,49272.0,1.0
5000,0.0,53320.0,1.0
6000,0.0,57436.0,1.0
7000,0.0,60488.0,1.0
8000,0.0,61552.0,1.0
9000,0.0,63560.0,1.0
10000,0.0,66616.0,1.0
12500,0.01,68664.0,1.0
15000,0.01,68672.0,1.0
17500,0.01,70712.0,1.0
20000,0.01,71728.0,1.0
22500,0.01,71800.0,1.0
25000,0.01,73820.0,1.0
30000,0.01,74844.0,1.0
40000,0.01,74828.0,1.0
50000,0.02,74788.0,1.0
60000,0.05,11352.0,2.0
70000,0.05,11300.0,2.0
80000,0.06,12352.0,2.0
90000,0.06,11364.0,2.0
100000,0.07,11300.0,2.0
200000,0.17,12340.0,3.0
300000,0.24,12384.0,3.0
400000,0.32,12372.0,3.0
500000,0.38,11368.0,3.0
600000,0.46,11380.0,3.0
700000,0.54,11300.0,3.0
800000,0.68,11296.0,3.33
900000,0.9,11300.0,3.98
1000000,1.0,11332.0,4.0
2000000,1.97,11300.0,4.0
4000000,4.06,11300.0,4.11
6000000,7.39,11332.0,5.0
8000000,9.88,11384.0,5.0
10000000,12.43,11296.0,5.0
15000000,18.36,11300.0,5.0
20000000,25.78,11300.0,5.07
25000000,31.95,11300.0,5.21
30000000,39.69,11304.0,5.4
35000000,48.79,11300.0,5.5
40000000,54.95,11300.0,5.56
49995000,68.61,11332.0,5.57
