M,Time (s),Memory (KB),Passes
1000,0.0,42076.0,1.0
2000,0.0,45152.0,1.0
3000,0.0,47176.0,1.0
4000,0.0,50232.0,1.0
5000,0.0,54328.0,1.0
6000,0.0,55360.0,1.0
7000,0.0,60492.0,1.0
8000,0.0,63564.0,1.0
9000,0.0,63564.0,1.0
10000,0.0,66596.0,1.0
12500,0.01,68700.0,1.0
15000,0.01,69708.0,1.0
17500,0.01,71756.0,1.0
20000,0.01,71744.0,1.0
22500,0.01,71736.0,1.0
25000,0.01,73776.0,1.0
30000,0.01,74844.0,1.0
40000,0.01,73760.0,1.0
50000,0.02,76880.0,1.0
60000,0.02,75872.0,1.0
70000,0.02,76852.0,1.0
80000,0.03,75808.0,1.0
90000,0.03,76880.0,1.0
100000,0.03,76896.0,1.0
200000,0.13,16464.0,2.0
300000,0.18,16420.0,2.0
400000,0.23,16420.0,2.0
500000,0.28,17464.0,2.0
600000,0.33,16508.0,2.0
700000,0.38,17504.0,2.0
800000,0.43,16464.0,2.0
900000,0.48,16460.0,2.0
1000000,0.53,16448.0,2.0
2000000,1.52,16464.0,3.0
4000000,2.98,16496.0,3.0
6000000,4.54,16456.0,3.0
8000000,5.89,16420.0,3.0
10000000,7.61,16284.0,3.0
15000000,11.75,16260.0,3.18
20000000,18.89,16288.0,3.82
25000000,24.01,16284.0,3.9
30000000,28.89,16328.0,3.9
35000000,34.2,16268.0,3.9
40000000,38.63,16432.0,3.9
49995000,48.09,16284.0,3.9
