M,Time (s),Memory (KB),Passes
1000,0.0,41112.0,1.0
2000,0.0,45144.0,1.0
3000,0.0,47184.0,1.0
4000,0.0,49296.0,1.0
5000,0.0,54336.0,1.0
6000,0.0,57432.0,1.0
7000,0.0,60456.0,1.0
8000,0.0,63544.0,1.0
9000,0.0,63592.0,1.0
10000,0.0,66656.0,1.0
12500,0.01,67708.0,1.0
15000,0.01,70712.0,1.0
17500,0.01,71764.0,1.0
20000,0.01,70752.0,1.0
22500,0.11,8224.0,7.55
25000,0.11,8260.0,7.79
30000,0.12,8260.0,8.33
40000,0.14,9308.0,8.82
50000,0.16,8248.0,9.42
60000,0.19,8228.0,9.88
70000,0.23,8312.0,10.25
80000,0.26,8248.0,10.65
90000,0.29,8228.0,11.02
100000,0.32,8256.0,11.12
200000,0.67,8224.0,12.82
300000,1.06,8260.0,13.71
400000,1.5,8256.0,14.56
500000,1.89,8292.0,15.02
600000,2.31,8228.0,15.45
700000,2.8,8236.0,15.86
800000,3.27,8256.0,16.05
900000,3.65,9252.0,16.33
1000000,4.12,8264.0,16.59
2000000,8.94,9252.0,17.93
4000000,18.83,8256.0,19.0
6000000,29.11,8264.0,19.51
8000000,39.75,8656.0,19.92
10000000,49.99,7236.0,20.05
15000000,75.03,8224.0,20.44
20000000,101.7,8240.0,20.71
25000000,128.64,8312.0,20.83
30000000,153.52,8228.0,20.91
35000000,186.48,7204.0,20.94
40000000,210.88,8264.0,20.95
49995000,262.9,7204.0,20.97
