N,Time (s),Memory (KB),Passes
10,0.0,4192.0,2.99
20,0.0,4164.0,3.01
30,0.0,4168.0,3.05
40,0.0,4168.0,3.07
50,0.0,4168.0,3.09
60,0.0,4192.0,3.15
70,0.0,4168.0,3.16
80,0.0,4168.0,3.16
90,0.0,4168.0,3.25
100,0.0,4168.0,3.19
200,0.0,4216.0,3.32
300,0.0,4168.0,3.48
400,0.0,4212.0,3.59
500,0.01,4168.0,3.68
600,0.01,4196.0,3.61
700,0.01,4168.0,3.78
800,0.01,4164.0,3.78
900,0.01,4196.0,3.81
1000,0.01,3108.0,3.83
1250,0.02,4176.0,3.89
1500,0.03,5220.0,3.87
1750,0.03,4132.0,3.9
2000,0.04,5276.0,3.97
2250,0.04,5192.0,3.98
2500,0.05,5192.0,3.95
3000,0.06,4140.0,3.97
3500,0.07,6216.0,4.02
4000,0.09,6212.0,4.08
4500,0.1,5156.0,4.03
5000,0.12,6216.0,4.0
6000,0.15,6180.0,4.03
7000,0.18,7236.0,4.05
8000,0.21,7204.0,4.07
9000,0.25,8256.0,4.09
10000,0.29,8292.0,4.16
