N,Time (s),Memory (KB),Passes
10,0.0,4196.0,1.0
20,0.0,4196.0,1.0
30,0.0,4180.0,1.0
40,0.0,3108.0,1.0
50,0.0,4188.0,1.0
60,0.0,4168.0,1.0
70,0.0,4168.0,1.0
80,0.0,4172.0,1.0
90,0.0,4168.0,1.0
100,0.0,4168.0,1.0
200,0.0,4192.0,1.0
300,0.0,4164.0,1.01
400,0.0,4168.0,1.0
500,0.0,4168.0,1.0
600,0.0,4168.0,1.01
700,0.01,4168.0,1.02
800,0.01,4188.0,1.02
900,0.01,4168.0,1.02
1000,0.01,5192.0,1.03
1250,0.01,5216.0,1.0
1500,0.01,5220.0,1.05
1750,0.02,4132.0,1.03
2000,0.02,5196.0,1.03
2250,0.02,6216.0,1.01
2500,0.03,6240.0,1.02
3000,0.04,6216.0,1.09
3500,0.04,6208.0,1.06
4000,0.05,7240.0,1.05
4500,0.06,8264.0,1.09
5000,0.07,7204.0,1.06
6000,0.09,8252.0,1.08
7000,0.11,10312.0,1.11
8000,0.13,10276.0,1.08
9000,0.16,11332.0,1.08
10000,0.18,12340.0,1.15
