K,Time (s),Memory (KB),Passes
1,0.01,4196.0,2.1
2,0.01,4276.0,2.06
3,0.01,4168.0,2.03
4,0.01,4196.0,2.01
5,0.01,5192.0,2.0
6,0.01,5220.0,2.0
7,0.01,5192.0,2.0
8,0.01,5192.0,1.99
9,0.01,5192.0,1.88
10,0.0,10320.0,1.0
12,0.0,10360.0,1.0
14,0.0,10332.0,1.0
16,0.0,10368.0,1.0
18,0.0,10332.0,1.0
20,0.0,10312.0,1.0
25,0.0,10312.0,1.0
30,0.0,10420.0,1.0
35,0.0,10340.0,1.0
40,0.0,10340.0,1.0
50,0.0,10312.0,1.0
75,0.0,10344.0,1.0
100,0.0,10348.0,1.0
250,0.0,10308.0,1.0
500,0.0,10308.0,1.0
750,0.0,10312.0,1.0
1000,0.0,10312.0,1.0
2500,0.0,10308.0,1.0
5000,0.0,10312.0,1.0
7500,0.0,10340.0,1.0
10000,0.0,10312.0,1.0
