K,Time (s),Memory (KB),Passes
1,0.04,4276.0,14.78
2,0.02,4168.0,7.37
3,0.02,4168.0,4.98
4,0.01,4168.0,4.45
5,0.01,5192.0,3.7
6,0.01,5192.0,3.41
7,0.01,5188.0,3.35
8,0.01,5220.0,3.27
9,0.01,5300.0,3.21
10,0.01,5220.0,3.17
12,0.01,5224.0,2.77
14,0.01,5212.0,2.27
16,0.01,4128.0,2.23
18,0.01,5188.0,2.22
20,0.01,5240.0,2.19
25,0.01,5220.0,2.1
30,0.01,5192.0,2.0
35,0.01,5220.0,2.0
40,0.01,5188.0,2.0
50,0.01,5192.0,2.0
75,0.01,5248.0,2.0
100,0.01,5192.0,2.0
250,0.01,5200.0,2.0
500,0.01,5188.0,2.0
750,0.01,4128.0,2.0
1000,0.01,5188.0,2.0
2500,0.01,5192.0,2.0
5000,0.01,5192.0,2.0
7500,0.01,5200.0,2.0
10000,0.01,5196.0,2.0
