K,Time (s),Memory (KB),Passes
1,71.47,8192.0,3.0
2,70.94,8192.0,3.0
3,70.57,8192.0,3.0
4,71.03,8192.0,3.0
5,72.47,9216.0,3.0
6,72.29,9216.0,3.0
7,71.94,9216.0,3.0
8,72.47,9216.0,3.0
9,71.96,10240.0,3.0
10,71.47,10240.0,3.0
11,72.09,10352.0,3.0
12,70.94,11264.0,3.0
13,72.26,11264.0,3.0
14,72.85,11264.0,3.0
15,73.48,12288.0,3.0
20,71.38,13052.0,3.0
25,71.07,14336.0,3.0
30,72.1,16384.0,3.0
35,69.45,18432.0,3.0
40,70.16,22528.0,3.0
45,70.84,20876.0,3.0
50,71.48,22528.0,3.0
60,70.0,25600.0,3.0
70,71.21,29696.0,3.0
80,71.44,31744.0,3.0
90,71.99,35840.0,3.0
100,70.98,37888.0,3.0
150,71.75,52224.0,3.0
200,71.96,69180.0,3.0
250,72.72,84828.0,3.0
300,72.34,99440.0,3.0
400,81.94,130100.0,3.0
500,72.56,159548.0,3.0
750,90.39,233472.0,3.0
1000,78.1,304280.0,3.0
1500,76.1,441048.0,3.0
2000,78.37,569604.0,3.0
2500,80.75,691200.0,3.0
3000,111.49,803840.0,3.0
4000,114.1,1006672.0,3.0
5000,81.47,1178660.0,3.0
7500,103.05,1472708.0,3.0
10000,64.56,1569792.0,2.0
