K,Time (s),Memory (KB),Passes
1,46.73,8192.0,2.0
2,44.75,9216.0,2.0
3,43.77,10240.0,2.0
4,35.87,11264.0,1.5
5,30.93,11264.0,1.2
6,28.96,11264.0,1.0
7,29.36,12288.0,1.0
8,28.21,12288.0,1.0
9,29.05,12288.0,1.0
10,28.66,12288.0,1.0
11,28.26,12288.0,1.0
12,30.5,12288.0,1.0
13,28.31,12288.0,1.0
14,28.14,12288.0,1.0
15,28.14,12288.0,1.0
20,27.95,12288.0,1.0
25,28.58,12288.0,1.0
30,28.87,12288.0,1.0
35,28.12,12288.0,1.0
40,36.69,12288.0,1.0
45,28.06,12288.0,1.0
50,33.13,12288.0,1.0
60,28.33,12288.0,1.0
70,28.35,12288.0,1.0
80,28.07,12288.0,1.0
90,28.55,12288.0,1.0
100,28.19,12288.0,1.0
150,28.12,12288.0,1.0
200,28.23,12288.0,1.0
250,28.13,12288.0,1.0
300,28.49,12288.0,1.0
400,28.19,12288.0,1.0
500,28.32,12288.0,1.0
750,28.41,12288.0,1.0
1000,28.12,12288.0,1.0
1500,28.28,12288.0,1.0
2000,28.06,12288.0,1.0
2500,28.14,11264.0,1.0
3000,28.55,12288.0,1.0
4000,28.39,12288.0,1.0
5000,15.04,1226360.0,1.0
7500,15.18,1225896.0,1.0
10000,14.94,1226968.0,1.0
