K,Time (s),Memory (KB),Passes
1,2221.02,6144.0,153.2
2,292.38,8192.0,20.7
3,134.56,9216.0,9.3
4,106.78,10240.0,7.4
5,92.59,12288.0,6.4
6,79.55,12288.0,5.8
7,78.12,13312.0,5.4
8,70.51,14336.0,5.0
9,70.53,15360.0,5.0
10,72.27,16384.0,5.0
11,71.5,17408.0,5.0
12,67.21,18432.0,4.7
13,60.9,19456.0,4.3
14,62.32,19456.0,4.3
15,58.07,20716.0,4.0
20,58.02,25600.0,4.0
25,58.71,30720.0,4.0
30,57.11,34816.0,4.0
35,55.94,38912.0,3.9
40,51.72,45056.0,3.7
45,54.38,49152.0,3.8
50,52.45,54272.0,3.6
60,45.76,63488.0,3.1
70,44.26,72704.0,3.0
80,45.1,81920.0,3.0
90,43.99,91136.0,3.0
100,43.78,101376.0,3.0
150,44.26,146432.0,3.0
200,46.2,194560.0,3.0
250,44.9,241664.0,3.0
300,47.59,287744.0,3.0
400,49.12,381952.0,3.0
500,48.67,477184.0,3.0
750,53.76,709632.0,3.0
1000,53.63,944128.0,3.0
1500,61.75,1414144.0,3.0
2000,68.58,1883136.0,3.0
2500,72.55,2350080.0,2.9
3000,75.17,2820096.0,2.7
4000,91.18,3756032.0,2.3
5000,109.79,4695040.0,2.0
7500,99.15,4696036.0,2.0
10000,103.53,4695040.0,2.0
