K,Average User Time (s),Average Memory (KB),Passes
1,0.404,11193.6,4
2,0.4,12766.4,4
3,0.328,14379.2,3
4,0.33,16141.6,3
5,0.306,17760.8,2
6,0.296,19688.8,2
7,0.322,21224.0,2
8,0.372,22773.6,2
9,0.42,24401.6,2
10,0.44,25939.2,2
