M,Time (s),Memory (KB),Passes
100,0.0,4152.0,2.22
200,0.0,3124.0,3.31
300,0.0,4152.0,3.65
400,0.0,4184.0,3.86
500,0.0,3128.0,4.02
600,0.0,3120.0,4.08
700,0.0,4188.0,4.28
800,0.0,3188.0,4.24
900,0.0,4188.0,4.26
1000,0.0,3220.0,4.37
2000,0.01,4164.0,4.83
3000,0.01,4176.0,5.3
4000,0.01,4136.0,5.6
5000,0.01,4148.0,6.08
6000,0.01,3108.0,6.23
7000,0.02,3120.0,6.57
8000,0.02,3108.0,6.81
9000,0.02,3152.0,7.04
10000,0.02,4144.0,7.38
11000,0.03,4164.0,7.57
12000,0.03,3148.0,7.87
13000,0.03,3176.0,8.15
14000,0.03,3144.0,8.46
15000,0.04,3108.0,8.64
16000,0.04,4172.0,8.86
17000,0.04,4164.0,9.13
18000,0.05,4188.0,9.51
19000,0.05,4144.0,9.69
20000,0.05,3108.0,10.1
30000,0.1,3108.0,13.04
40000,0.17,3140.0,16.52
50000,0.26,3140.0,20.26
60000,0.35,4152.0,22.67
70000,0.43,4132.0,24.44
80000,0.51,3172.0,25.65
90000,0.6,3136.0,26.77
100000,0.71,4148.0,27.43
200000,1.52,3156.0,30.59
300000,2.38,3132.0,31.74
400000,3.3,3180.0,32.73
