M,Time (s),Memory (KB),Passes
100,0.0,7244.0,1.0
200,0.0,8276.0,1.0
300,0.0,8272.0,1.0
400,0.0,8276.0,1.0
500,0.0,8268.0,1.0
600,0.0,8244.0,1.0
700,0.0,7292.0,1.0
800,0.0,8280.0,1.0
900,0.0,8260.0,1.0
1000,0.0,8340.0,1.0
2000,0.0,9292.0,1.0
3000,0.0,8316.0,1.0
4000,0.0,8228.0,1.0
5000,0.0,10300.0,1.0
6000,0.01,5188.0,2.07
7000,0.01,5188.0,2.15
8000,0.01,5212.0,2.19
9000,0.01,5172.0,2.22
10000,0.01,5176.0,2.22
11000,0.01,5212.0,2.28
12000,0.01,5160.0,2.61
13000,0.01,5176.0,2.87
14000,0.01,4148.0,2.97
15000,0.02,4148.0,2.99
16000,0.02,4164.0,3.0
17000,0.02,4132.0,3.0
18000,0.02,5188.0,3.0
19000,0.02,5176.0,3.0
20000,0.02,5176.0,3.13
30000,0.04,5168.0,4.5
40000,0.06,4216.0,5.41
50000,0.09,5172.0,6.3
60000,0.11,4144.0,6.84
70000,0.14,5172.0,7.29
80000,0.16,5160.0,7.56
90000,0.18,5200.0,7.61
100000,0.2,5176.0,7.68
200000,0.42,5176.0,8.42
300000,0.66,5176.0,8.81
400000,0.91,4132.0,9.14
