M,Time (s),Memory (KB),Passes
100,0.0,6216.0,1.0
200,0.0,7240.0,1.0
300,0.0,8268.0,1.0
400,0.0,8256.0,1.0
500,0.0,8284.0,1.0
600,0.0,8228.0,1.0
700,0.0,8248.0,1.0
800,0.0,8244.0,1.0
900,0.0,7288.0,1.0
1000,0.0,9276.0,1.0
2000,0.0,8256.0,1.0
3000,0.0,9272.0,1.0
4000,0.0,9288.0,1.0
5000,0.0,10332.0,1.0
6000,0.0,10280.0,1.0
7000,0.0,10296.0,1.0
8000,0.0,10320.0,1.0
9000,0.0,10320.0,1.0
10000,0.0,10288.0,1.0
11000,0.01,5196.0,2.0
12000,0.01,5200.0,2.0
13000,0.01,5176.0,2.0
14000,0.01,4168.0,2.02
15000,0.01,5176.0,2.08
16000,0.01,5160.0,2.15
17000,0.01,5204.0,2.17
18000,0.01,5180.0,2.18
19000,0.01,5172.0,2.21
20000,0.02,5204.0,2.22
30000,0.03,4132.0,2.99
40000,0.04,4204.0,3.6
50000,0.06,4156.0,4.03
60000,0.07,5176.0,4.37
70000,0.09,4144.0,4.67
80000,0.11,5176.0,4.85
90000,0.12,4172.0,5.02
100000,0.14,5212.0,5.15
200000,0.29,5196.0,5.6
300000,0.46,4160.0,5.92
400000,0.62,4148.0,6.12
