M,Time (s),Memory (KB),Passes
100,0.0,4160.0,2.0
200,0.0,4152.0,2.0
300,0.0,4188.0,2.0
400,0.0,4180.0,2.0
500,0.0,3172.0,2.0
600,0.0,4192.0,2.0
700,0.0,3132.0,2.0
800,0.0,4168.0,2.0
900,0.0,4156.0,2.0
1000,0.0,4192.0,2.0
2000,0.0,4152.0,2.0
3000,0.0,3136.0,2.06
4000,0.0,3188.0,2.17
5000,0.01,5212.0,2.23
6000,0.01,5180.0,2.25
7000,0.01,5208.0,2.34
8000,0.01,4192.0,2.87
9000,0.01,4148.0,3.16
10000,0.01,5168.0,3.17
11000,0.01,5204.0,3.17
12000,0.01,5188.0,3.23
13000,0.01,4220.0,3.25
14000,0.01,4196.0,3.28
15000,0.02,5208.0,3.31
16000,0.02,5176.0,3.35
17000,0.02,5196.0,3.37
18000,0.02,5212.0,3.39
19000,0.02,4212.0,3.39
20000,0.02,5180.0,3.4
30000,0.04,5188.0,4.33
40000,0.06,5212.0,5.12
50000,0.08,5188.0,5.93
60000,0.1,5204.0,6.33
70000,0.12,5176.0,6.75
80000,0.15,5160.0,7.02
90000,0.17,4152.0,7.35
100000,0.19,5216.0,7.5
200000,0.44,5172.0,8.52
300000,0.68,4172.0,9.04
400000,0.94,4160.0,9.42
