M,Time (s),Memory (KB),Passes
100,0.0,7260.0,1.0
200,0.0,8252.0,1.0
300,0.0,8248.0,1.0
400,0.0,7216.0,1.0
500,0.0,8284.0,1.0
600,0.0,8272.0,1.0
700,0.0,7240.0,1.0
800,0.0,7280.0,1.0
900,0.0,7244.0,1.0
1000,0.0,9272.0,1.0
2000,0.0,8244.0,1.0
3000,0.0,4136.0,2.43
4000,0.01,4172.0,2.91
5000,0.01,3180.0,2.99
6000,0.01,4164.0,3.01
7000,0.01,4136.0,3.16
8000,0.01,4168.0,3.51
9000,0.01,4180.0,3.85
10000,0.01,4188.0,3.95
11000,0.02,4184.0,4.03
12000,0.02,4188.0,4.17
13000,0.02,4188.0,4.38
14000,0.02,4148.0,4.59
15000,0.02,3132.0,4.74
16000,0.02,4188.0,4.85
17000,0.03,3140.0,5.0
18000,0.03,3136.0,5.28
19000,0.03,3108.0,5.55
20000,0.03,4176.0,5.7
30000,0.06,3224.0,7.52
40000,0.11,3192.0,9.78
50000,0.15,4164.0,11.47
60000,0.2,3136.0,12.58
70000,0.24,4176.0,13.06
80000,0.27,4160.0,13.53
90000,0.32,4152.0,13.76
100000,0.36,4132.0,13.91
200000,0.77,3132.0,14.99
300000,1.2,3220.0,15.67
400000,1.61,3108.0,16.25
