M,Time (s),Memory (KB),Passes
100,0.0,7220.0,1.0
200,0.0,8288.0,1.0
300,0.0,8248.0,1.0
400,0.0,8248.0,1.0
500,0.0,8256.0,1.0
600,0.0,8256.0,1.0
700,0.0,8280.0,1.0
800,0.0,8252.0,1.0
900,0.0,7228.0,1.0
1000,0.0,9304.0,1.0
2000,0.0,8256.0,1.0
3000,0.0,9284.0,1.0
4000,0.0,9268.0,1.0
5000,0.0,10288.0,1.0
6000,0.01,4196.0,2.07
7000,0.01,5180.0,2.15
8000,0.01,5176.0,2.19
9000,0.01,5212.0,2.25
10000,0.01,4168.0,2.31
11000,0.01,5204.0,2.42
12000,0.01,5212.0,2.77
13000,0.01,4208.0,3.04
14000,0.02,4132.0,3.17
15000,0.02,5176.0,3.25
16000,0.02,4132.0,3.29
17000,0.02,4248.0,3.35
18000,0.02,4188.0,3.37
19000,0.02,4196.0,3.4
20000,0.02,5176.0,3.55
30000,0.04,5160.0,4.91
40000,0.07,5204.0,6.02
50000,0.1,5184.0,7.23
60000,0.13,5188.0,8.01
70000,0.16,5160.0,8.6
80000,0.19,5172.0,9.07
90000,0.22,4172.0,9.41
100000,0.26,5184.0,9.77
200000,0.56,4132.0,11.13
300000,0.89,4188.0,11.83
400000,1.25,4164.0,12.37
