M,Time (s),Memory (KB),Passes
100,0.0,6292.0,1.0
200,0.0,7320.0,1.0
300,0.0,8284.0,1.0
400,0.0,8272.0,1.0
500,0.0,8228.0,1.0
600,0.0,8244.0,1.0
700,0.0,8284.0,1.0
800,0.0,8248.0,1.0
900,0.0,8252.0,1.0
1000,0.0,9292.0,1.0
2000,0.0,8312.0,1.0
3000,0.0,8248.0,1.0
4000,0.0,8256.0,1.0
5000,0.0,9284.0,1.0
6000,0.0,9332.0,1.0
7000,0.0,9276.0,1.0
8000,0.0,10296.0,1.0
9000,0.0,10336.0,1.0
10000,0.0,10296.0,1.0
11000,0.01,4204.0,2.0
12000,0.01,5176.0,2.0
13000,0.01,5212.0,2.0
14000,0.01,4132.0,2.05
15000,0.01,5172.0,2.15
16000,0.01,4184.0,2.17
17000,0.01,5196.0,2.2
18000,0.01,5160.0,2.21
19000,0.01,5168.0,2.22
20000,0.02,5168.0,2.23
30000,0.03,5208.0,3.16
40000,0.05,4208.0,3.99
50000,0.07,5216.0,4.66
60000,0.08,5180.0,4.96
70000,0.11,4160.0,5.5
80000,0.13,5212.0,5.78
90000,0.15,4216.0,5.95
100000,0.16,5160.0,6.08
200000,0.37,4184.0,7.22
300000,0.58,5160.0,7.69
400000,0.81,4188.0,8.05
