M,Time (s),Memory (KB),AvgPasses,AvgHeight
1000,0.0,5220.48,2.0,4.95
2000,0.0,5228.0,2.0,7.26
3000,0.0,5224.32,2.03,10.65
4000,0.0001,5220.88,2.14,17.89
5000,0.0021000000000000003,5226.8,2.51,45.1
6000,0.010100000000000007,5252.68,3.86,293.58
7000,0.019800000000000012,6199.48,4.09,733.67
8000,0.027499999999999972,6214.6,4.15,1232.57
9000,0.03259999999999996,6180.4,4.18,1728.56
10000,0.04060000000000001,6188.56,4.18,2195.67
12000,0.05439999999999991,6204.56,4.11,3008.01
14000,0.06479999999999995,6238.4,4.16,3696.28
16000,0.07320000000000008,6236.84,4.15,4266.14
18000,0.07990000000000004,6246.96,4.14,4750.74
25000,0.10269999999999989,7149.36,4.16,5957.07
30000,0.1152999999999999,7241.32,4.15,6542.37
35000,0.1258,7219.64,4.05,6966.49
40000,0.1367000000000002,7233.64,4.1,7312.03
45000,0.1457000000000002,7204.6,4.07,7581.84
50000,0.15680000000000016,7198.32,4.11,7806.8
60000,0.17299999999999996,7139.96,4.12,8148.29
70000,0.19,7222.6,4.08,8394.63
80000,0.20780000000000004,7220.96,4.1,8593.46
90000,0.22510000000000005,7253.32,4.06,8742.79
100000,0.23999999999999985,7242.48,4.04,8864.37
200000,0.4033999999999997,7211.48,4.08,9427.87
300000,0.5579999999999997,7253.2,4.05,9620.83
400000,0.7041000000000007,7146.4,4.02,9716.6
500000,0.8560000000000002,7209.52,4.0,9774.55
600000,0.9967000000000001,7250.12,3.92,9814.39
700000,1.1484999999999999,7212.48,3.91,9842.27
800000,1.296499999999999,7233.88,3.88,9865.58
900000,1.4463999999999997,7222.76,3.85,9880.93
1000000,1.5730000000000006,7250.04,3.8,9892.96
2000000,2.9530999999999987,7217.0,3.64,9950.61
4000000,5.6118000000000015,7125.88,3.41,9978.35
6000000,8.324,6947.04,3.38,9986.67
8000000,10.677900000000005,6983.28,3.18,9990.72
10000000,13.597500000000002,6740.0,3.18,9993.14
15000000,20.414499999999997,6599.88,3.12,9996.18
20000000,25.904600000000002,6632.12,3.06,9997.69
25000000,31.996399999999994,6876.16,3.01,9998.57
30000000,39.23269999999999,6652.68,3.02,9999.14
35000000,45.4863,6789.72,3.02,9999.46
